date,parameter,avg_value,min_value,max_value,readings_per_day
2025-12-01,pm10,12,2,31,16
2025-12-01,pm25,"2,2","0,8",6,16
2025-12-02,pm10,"9,96",5,19,24
2025-12-02,pm25,"3,93","1,5","8,6",24
2025-12-03,pm10,"17,42",7,34,24
2025-12-03,pm25,"5,81","1,8","13,7",24
2025-12-04,pm10,"5,96",2,11,24
2025-12-04,pm25,"3,3","2,1","4,5",24
2025-12-05,pm10,"10,42",3,27,24
2025-12-05,pm25,"4,35","2,4","9,7",24
2025-12-06,pm10,"8,88",4,16,24
2025-12-06,pm25,"3,92","1,6","6,3",24
2025-12-07,pm10,"7,5",3,20,24
2025-12-07,pm25,"2,69","1,3","8,3",24
2025-12-08,pm10,"13,67",5,32,24
2025-12-08,pm25,"4,44","1,9","8,5",24
2025-12-09,pm10,"11,09",3,38,22
2025-12-09,pm25,"2,93","1,5","7,8",22
2025-12-10,pm10,"15,17",6,66,24
2025-12-10,pm25,"3,13","1,6","10,4",24
2025-12-11,pm10,"23,67",3,70,24
2025-12-11,pm25,"4,5","0,9","10,3",24
2025-12-12,pm10,"12,92",3,55,24
2025-12-12,pm25,"2,77","1,2",8,24
2025-12-13,pm10,"19,63",12,31,24
2025-12-13,pm25,"5,53","2,5","9,4",24
2025-12-14,pm10,"19,71",15,27,24
2025-12-14,pm25,"6,6","3,7","14,4",24
2025-12-15,pm10,"28,71",10,70,24
2025-12-15,pm25,"9,11","3,8","18,3",24
2025-12-16,pm10,"23,79",6,63,24
2025-12-16,pm25,"7,11","2,1","20,9",24
2025-12-17,pm10,"26,79",9,95,24
2025-12-17,pm25,"5,76","2,9","13,1",24
2025-12-18,pm10,"36,13",6,106,24
2025-12-18,pm25,"4,76","1,3","9,4",24
2025-12-19,pm10,"51,13",21,94,24
2025-12-19,pm25,"9,75","3,3","20,2",24
2025-12-20,pm10,"18,83",8,36,24
2025-12-20,pm25,"3,96","1,8","9,7",24
2025-12-21,pm10,"17,38",7,41,21
2025-12-21,pm25,"5,28","1,5","9,3",21
2025-12-22,pm10,"28,92",9,87,24
2025-12-22,pm25,"8,1","1,5","14,1",24
2025-12-23,pm10,"19,88",9,29,24
2025-12-23,pm25,"5,86","2,3","8,9",24
2025-12-24,pm10,"38,67",11,65,24
2025-12-24,pm25,"10,9","3,1","23,7",24
2025-12-25,pm10,"21,04",8,46,24
2025-12-25,pm25,"7,25","3,4","17,4",24
2025-12-26,pm10,"17,46",6,38,24
2025-12-26,pm25,"8,51","1,5","19,2",24
2025-12-27,pm10,"16,33",3,37,24
2025-12-27,pm25,"6,29","0,8","16,5",24
2025-12-28,pm10,"7,79",3,25,24
2025-12-28,pm25,"3,69","1,3","16,2",24
2025-12-29,pm10,"10,21",4,19,24
2025-12-29,pm25,"3,33","1,3","9,7",24
2025-12-30,pm10,"23,5",14,37,22
2025-12-30,pm25,"8,96","3,1","19,1",22
2025-12-31,pm10,"18,21",5,37,24
2025-12-31,pm25,"6,49","2,1","16,7",24
2026-01-01,pm10,"44,13",19,71,8
2026-01-01,pm25,"22,53","4,3","39,9",8
