date,pm10_avg,pm25_avg,pm10_max
2025-12-01,12,"2,2",31
2025-12-02,"9,96","3,93",19
2025-12-03,"17,42","5,81",34
2025-12-04,"5,96","3,3",11
2025-12-05,"10,42","4,35",27
2025-12-06,"8,88","3,92",16
2025-12-07,"7,5","2,69",20
2025-12-08,"13,67","4,44",32
2025-12-09,"11,09","2,93",38
2025-12-10,"15,17","3,13",66
2025-12-11,"23,67","4,5",70
2025-12-12,"12,92","2,77",55
2025-12-13,"19,63","5,53",31
2025-12-14,"19,71","6,6",27
2025-12-15,"28,71","9,11",70
2025-12-16,"23,79","7,11",63
2025-12-17,"26,79","5,76",95
2025-12-18,"36,13","4,76",106
2025-12-19,"51,13","9,75",94
2025-12-20,"18,83","3,96",36
2025-12-21,"17,38","5,28",41
2025-12-22,"28,92","8,1",87
2025-12-23,"19,88","5,86",29
2025-12-24,"38,67","10,9",65
2025-12-25,"21,04","7,25",46
2025-12-26,"17,46","8,51",38
2025-12-27,"16,33","6,29",37
2025-12-28,"7,79","3,69",25
2025-12-29,"10,21","3,33",19
2025-12-30,"23,5","8,96",37
2025-12-31,"18,21","6,49",37
2026-01-01,"44,13","22,53",71
