datetime,parameter,value,hour
2025-12-18 00:00:00,pm10,15,0
2025-12-18 00:00:00,pm25,"2,9",0
2025-12-18 01:00:00,pm10,20,1
2025-12-18 01:00:00,pm25,"3,8",1
2025-12-18 02:00:00,pm10,25,2
2025-12-18 02:00:00,pm25,"6,4",2
2025-12-18 03:00:00,pm10,23,3
2025-12-18 03:00:00,pm25,"5,7",3
2025-12-18 04:00:00,pm10,13,4
2025-12-18 04:00:00,pm25,"3,7",4
2025-12-18 05:00:00,pm10,13,5
2025-12-18 05:00:00,pm25,"3,3",5
2025-12-18 06:00:00,pm10,10,6
2025-12-18 06:00:00,pm25,3,6
2025-12-18 07:00:00,pm10,9,7
2025-12-18 07:00:00,pm25,3,7
2025-12-18 08:00:00,pm10,12,8
2025-12-18 08:00:00,pm25,"3,1",8
2025-12-18 09:00:00,pm10,7,9
2025-12-18 09:00:00,pm25,"2,2",9
2025-12-18 10:00:00,pm10,6,10
2025-12-18 10:00:00,pm25,"2,1",10
2025-12-18 11:00:00,pm10,6,11
2025-12-18 11:00:00,pm25,"1,3",11
2025-12-18 12:00:00,pm10,20,12
2025-12-18 12:00:00,pm25,"2,8",12
2025-12-18 13:00:00,pm10,106,13
2025-12-18 13:00:00,pm25,"9,4",13
2025-12-18 14:00:00,pm10,87,14
2025-12-18 14:00:00,pm25,"8,3",14
2025-12-18 15:00:00,pm10,67,15
2025-12-18 15:00:00,pm25,8,15
2025-12-18 16:00:00,pm10,72,16
2025-12-18 16:00:00,pm25,"7,7",16
2025-12-18 17:00:00,pm10,61,17
2025-12-18 17:00:00,pm25,"5,7",17
2025-12-18 18:00:00,pm10,49,18
2025-12-18 18:00:00,pm25,"4,7",18
2025-12-18 19:00:00,pm10,70,19
2025-12-18 19:00:00,pm25,"6,9",19
2025-12-18 20:00:00,pm10,63,20
2025-12-18 20:00:00,pm25,"6,2",20
2025-12-18 21:00:00,pm10,31,21
2025-12-18 21:00:00,pm25,"4,1",21
2025-12-18 22:00:00,pm10,35,22
2025-12-18 22:00:00,pm25,"4,6",22
2025-12-18 23:00:00,pm10,47,23
2025-12-18 23:00:00,pm25,"5,4",23
2025-12-19 00:00:00,pm10,64,0
2025-12-19 00:00:00,pm25,"6,8",0
2025-12-19 01:00:00,pm10,58,1
2025-12-19 01:00:00,pm25,"7,9",1
2025-12-19 02:00:00,pm10,50,2
